price,spec_rating,Ram,ROM,display_size,resolution_width,resolution_height,warranty
33980,69.32352941,8,512,14,1920,1080,1
78400,71,8,512,15.6,1920,1080,1
79990,72,16,512,15.6,1920,1080,1
47990,67,12,512,15.6,1920,1080,1
74990,68,16,512,15.6,1920,1080,1
45889,69.32352941,8,512,15.6,1920,1080,1
90990,70,16,512,14,2880,1800,1
50990,69.32352941,8,512,15.6,1920,1080,1
74990,69.32352941,16,512,15.6,1920,1080,1
25990,69.32352941,8,512,15.6,1920,1080,1
133990,68,16,1024,13.3,1920,1080,1
165990,73,16,1024,16,2880,1800,1
163990,80,16,512,16,2880,1800,1
109990,66,16,512,13.3,1920,1080,1
139990,71,16,512,14,2880,1800,1
109990,66,16,512,13.3,1920,1080,1
149990,72,16,512,16,2880,1800,1
179990,81,16,1024,16,2880,1800,1
155990,74,16,512,16,2880,1800,1
229900,78,32,512,16,2880,1800,1
35990,61,8,512,15.6,1920,1080,1
37990,60,8,512,15.6,1920,1080,1
34999,60,8,512,14,1920,1080,1
290990,61,32,1024,14.2,3024,1964,1
234990,69.32352941,16,1024,14.2,3024,1964,1
82799,70,16,512,14,2880,1800,1
31790,60,8,256,14,1920,1080,1
60990,67,8,512,15.6,1920,1080,1
86990,77,16,1024,15.6,1920,1080,1
52990,63,16,512,14,1920,1080,1
38990,69.32352941,8,512,14,1920,1080,1
52558,60,16,512,15.6,1920,1080,1
31990,69.32352941,8,512,14,1920,1080,1
34499,69.32352941,8,512,15.6,1920,1080,1
94490,75,16,512,14,2880,1800,1
33800,69.32352941,8,512,15.6,1366,768,1
74390,69.32352941,16,512,15.6,1920,1080,1
104490,71,16,512,14,2880,1800,1
105739,71,16,1024,15.6,2880,1620,1
45500,66,8,512,15.6,1920,1080,1
50760,69.32352941,16,512,15.6,1920,1080,1
49990,69.32352941,16,512,14,1920,1080,1
33199,69.32352941,8,512,14,1920,1080,1
70990,72,16,512,15.6,1920,1080,1
64990,71,8,512,15.6,1920,1080,1
59990,64,16,512,16,1920,1200,1
88990,70,16,512,14,2880,1800,1
44990,69.32352941,8,512,15.6,1920,1080,1
77990,69,16,1024,13.3,1920,1200,1
70990,65,16,512,16,1920,1200,1
55990,70,8,512,15.6,1920,1080,1
43999,66,16,512,15.6,1920,1080,1
37990,69.32352941,8,512,15.6,1920,1080,1
64990,67,16,512,15.6,1920,1080,1
32990,69.32352941,8,512,15.6,1920,1080,1
179490,81,16,1024,16,2880,1800,1
56990,60,16,512,15.6,1920,1080,1
56990,71,8,512,16.1,1920,1080,1
34990,69.32352941,8,512,15.6,1920,1080,1
83249,70,16,512,14,2880,1800,1
57990,60,16,512,14,1920,1080,1
85490,71,16,512,13.4,1920,1200,1
55890,69.32352941,8,512,15.6,1920,1080,1
40689,69.32352941,8,512,15.6,1920,1080,1
48990,65,16,512,15.6,1920,1080,1
66648,64,16,512,14,1920,1080,1
36990,69.32352941,8,512,15.6,1920,1080,1
74990,73,16,512,15.6,1920,1080,2
144990,69.32352941,32,1024,16,2560,1600,1
118499,69.32352941,16,512,14,1920,1080,3
35490,69.32352941,8,512,15.6,1920,1080,1
62889,74,16,512,14,1920,1200,1
63999,67,8,512,15.6,1920,1080,1
41990,69.32352941,8,512,14,1920,1080,1
49990,62,8,512,14,1920,1080,1
54990,62,8,512,14,1920,1080,1
119990,75,16,512,16,1920,1200,1
85990,78,16,512,16,2560,1660,2
85590,79,16,1024,16,2560,1660,2
31990,61,8,512,15.6,1920,1080,1
55800,69.32352941,16,512,14,1920,1200,1
72422,68,16,512,14,2560,1600,1
31500,69.32352941,8,512,15.6,1920,1080,1
37990,69.32352941,8,512,14,1920,1080,1
63490,71,8,512,15.6,1920,1080,1
60990,66,16,512,15.6,1920,1080,1
39900,64,8,512,15.6,1920,1080,1
33990,69.32352941,8,512,15.6,1920,1080,1
57580,69.32352941,16,512,15.6,1920,1080,1
339990,85,32,2048,16,2560,1600,1
34999,60,8,512,15.6,1920,1080,1
54990,61,8,512,15.6,1920,1080,1
35999,60,8,1024,15.6,1920,1080,1
41710,65,8,1024,15.6,1920,1080,1
50090,67,8,512,16,1920,1200,1
45890,69.32352941,16,512,14,1920,1080,1
29990,69.32352941,8,512,15.6,1366,768,1
37672,69.32352941,8,512,15.6,1920,1080,1
83523,77,16,512,15.6,1920,1080,1
52128,66,8,512,15.6,1920,1080,1
39990,69.32352941,8,512,15.6,1920,1080,1
54790,66,8,512,15.6,1920,1080,1
147090,86,32,2048,16,2560,1600,1
67990,61,16,512,14,1920,1080,1
49290,70,8,512,15.6,1920,1080,2
51990,62,8,512,15.6,1920,1080,1
83149,64,16,1024,14,1920,1080,1
54999,69.32352941,8,512,15.6,1920,1080,1
74990,65,16,512,15.6,1920,1080,1
66990,67,16,512,15.6,1920,1080,1
61990,62,8,512,15.6,1920,1080,1
51573,69.32352941,8,512,14,1920,1080,1
31500,69.32352941,8,256,15.6,1920,1080,1
29000,69.32352941,4,256,15.6,1920,1080,1
32990,69.32352941,8,512,15.6,1920,1080,1
36990,69.32352941,8,512,15.6,1920,1080,1
239900,69.32352941,16,1024,14.2,3024,1964,1
309490,60,32,1024,16.2,3456,2234,1
49990,69.32352941,8,512,15.6,1920,1080,1
40250,69.32352941,8,1024,15.6,1920,1080,1
59990,72,16,512,15.6,1920,1080,1
57990,65,8,1024,15.6,1920,1080,1
36999,69.32352941,8,256,14,1440,2160,1
53990,67,16,512,15.6,3200,2000,1
48990,62,16,512,14,2560,1600,1
39990,69.32352941,8,512,14,1920,1080,2
37290,61,8,1024,15.6,1920,1080,1
60390,69.32352941,8,128,15,2496,1664,1
54999,65,8,256,15.6,1920,1080,1
90464,69.32352941,8,512,14,1920,1080,3
54490,61,8,512,14,1920,1080,1
